jid,var_cahmi,stem,SC_AGE_YEARS,value_on_track,value_emerging
1.22,RecogBegin_22,"How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?",3,,
1.22,RecogBegin_22,"How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?",4,,
1.22,RecogBegin_22,"How often can this child recognize the beginning sound of a word (e.g., 'ball' starts with 'buh' sound)?",5,,
2.22,SameSound_22,"How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?",3,,
2.22,SameSound_22,"How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?",4,,
2.22,SameSound_22,"How often can this child come up with words that start with the same sound (e.g., 'sock' and 'sun')?",5,,
3.22,RhymeWordR_22,"How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?",3,,
3.22,RhymeWordR_22,"How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?",4,,
3.22,RhymeWordR_22,"How well can this child come up with words that rhyme (e.g., 'cat' and 'mat')?",5,,
4.22,RecogLetter_22,About how many letters of the alphabet can this child recognize?,3,,
4.22,RecogLetter_22,About how many letters of the alphabet can this child recognize?,4,,
4.22,RecogLetter_22,About how many letters of the alphabet can this child recognize?,5,,
5.22,WriteName_22,"How often can this child write their first name, even if some of the letters aren't quite right or are backwards?",3,,
5.22,WriteName_22,"How often can this child write their first name, even if some of the letters aren't quite right or are backwards?",4,,
5.22,WriteName_22,"How often can this child write their first name, even if some of the letters aren't quite right or are backwards?",5,,
6.22,ReadOneDigit_22,"How often can this child read one-digit numbers (e.g., 2 or 8)?",3,,
6.22,ReadOneDigit_22,"How often can this child read one-digit numbers (e.g., 2 or 8)?",4,,
6.22,ReadOneDigit_22,"How often can this child read one-digit numbers (e.g., 2 or 8)?",5,,
7.22,CountToR_22,"If asked to count objects, how can can this child count correctly?",3,,
7.22,CountToR_22,"If asked to count objects, how can can this child count correctly?",4,,
7.22,CountToR_22,"If asked to count objects, how can can this child count correctly?",5,,
8.22,GroupOfObjects_22,"How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?",3,,
8.22,GroupOfObjects_22,"How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?",4,,
8.22,GroupOfObjects_22,"How often can this child tell which group of objects has more (e.g., group of 7 blocks has more than groups of 4)?",5,,
9.22,SimpleAddition_22,"How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?",3,,
9.22,SimpleAddition_22,"How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?",4,,
9.22,SimpleAddition_22,"How often can this child correctly do simple addition (e.g., 2 blocks and 3 blocks add to 5 blocks)?",5,,
